STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000101,0, , ,I,9999,286, , ,I,9999,99, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000102,-9999, , , ,9999,280, , ,I,9999,109, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000103,-9999, , , ,9999,280, , ,I,9999,106, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000104,-9999, , , ,9999,-9999, , , ,9999,98, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000105,0, , ,I,9999,288, , ,I,9999,85, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000106,-9999, , , ,9999,-9999, , , ,9999,83, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000108,-9999, , , ,9999,285, , ,I,9999,102, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000109,-9999, , , ,9999,273, , ,I,9999,-9999, , , ,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000110,-9999, , , ,9999,249, , ,I,9999,132, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000111,-9999, , , ,9999,279, , ,I,9999,124, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000112,0, , ,I,9999,290, , ,I,9999,109, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000113,-9999, , , ,9999,-9999, , , ,9999,103, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000114,-9999, , , ,9999,290, , ,I,9999,96, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000115,-9999, , , ,9999,280, , ,I,9999,98, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000116,-9999, , , ,9999,292, , ,I,9999,89, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000117,-9999, , , ,9999,299, , ,I,9999,-9999, , , ,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000118,-9999, , , ,9999,289, , ,I,9999,114, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000119,15, , ,I,9999,267, , ,I,9999,100, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000120,-9999, , , ,9999,270, , ,I,9999,107, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000121,-9999, , , ,9999,264, , ,I,9999,134, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000122,-9999, , , ,9999,274, , ,I,9999,118, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000123,-9999, , , ,9999,280, , ,I,9999,-9999, , , ,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000124,-9999, , , ,9999,283, , ,I,9999,102, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000125,-9999, , , ,9999,275, , ,I,9999,101, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000126,-9999, , , ,9999,280, , ,I,9999,65, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000127,-9999, , , ,9999,-9999, , , ,9999,81, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000128,-9999, , , ,9999,292, , ,I,9999,77, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000129,-9999, , , ,9999,297, , ,I,9999,98, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000130,-9999, , , ,9999,298, , ,I,9999,94, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000131,-9999, , , ,9999,-9999, , , ,9999,80, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000201,-9999, , , ,9999,285, , ,I,9999,88, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000202,-9999, , , ,9999,281, , ,I,9999,93, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000203,-9999, , , ,9999,287, , ,I,9999,130, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000204,-9999, , , ,9999,-9999, , , ,9999,103, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000205,-9999, , , ,9999,280, , ,I,9999,115, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000206,-9999, , , ,9999,292, , ,I,9999,91, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000207,8, , ,I,9999,296, , ,I,9999,82, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000208,-9999, , , ,9999,290, , ,I,9999,94, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000209,-9999, , , ,9999,-9999, , , ,9999,100, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000210,-9999, , , ,9999,275, , ,I,9999,-9999, , , ,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000211,-9999, , , ,9999,290, , ,I,9999,95, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000212,-9999, , , ,9999,283, , ,I,9999,90, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000213,-9999, , , ,9999,-9999, , , ,9999,88, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000214,-9999, , , ,9999,300, , ,I,9999,110, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000215,-9999, , , ,9999,298, , ,I,9999,112, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000216,-9999, , , ,9999,299, , ,I,9999,93, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000217,-9999, , , ,9999,288, , ,I,9999,97, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000218,-9999, , , ,9999,-9999, , , ,9999,98, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000219,-9999, , , ,9999,285, , ,I,9999,92, , ,I,9999
GHCND:KE000063661,KITALE KE,1875,1.016,35,20000220,-9999, , , ,9999,-9999, , , ,9999,102, , ,I,9999
