YEAR     JAN     FEB     MAR     APR     MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC        
1979     0.31     0.42     0.09    -0.29    -0.92    -1.23    -1.19    -1.27    -1.40    -1.52    -1.50    -1.14
1980    -0.67    -0.38    -0.22     0.19     0.64     0.96     1.26     1.33     1.48     1.44     1.30     1.03
1981     0.83     0.63     0.63     0.67     0.38     0.08     0.12    -0.13    -0.25    -0.40    -0.47    -0.76
1982    -0.86    -1.12    -1.34    -1.27    -1.11    -0.93    -0.18     0.42     0.79     1.05     1.09     1.08
1983     1.04     1.01     1.01     1.12     1.10     0.62     0.27     0.01    -0.18    -0.45    -0.52    -0.69
1984    -0.71    -0.84    -1.04    -1.19    -1.10    -1.10    -1.52    -1.73    -1.62    -1.38    -0.76    -0.42
1985     0.13     0.42     0.54     0.90     1.23     1.50     1.45     1.45     1.40     1.34     1.26     1.05
1986     0.87     0.91     1.00     0.74     0.42     0.19     0.12    -0.24    -0.38    -0.41    -0.34    -0.62
1987    -0.65    -0.84    -1.14    -1.32    -1.50    -1.38    -0.59     0.50     0.93     1.14     1.07     0.93
1988     0.79     0.58     0.50     0.53     0.57     0.40     0.23     0.33     0.26     0.25     0.25     0.04
1989    -0.08    -0.21    -0.11    -0.16    -0.31    -0.40    -0.58    -0.84    -1.09    -1.36    -1.24    -0.86
1990    -0.55    -0.47     0.10     0.46     1.06     1.42     1.57     1.57     1.52     1.39     1.25     1.11
1991     0.87     0.77     0.75     0.87     0.44     0.09    -0.30    -0.65    -0.69    -0.62    -0.69    -0.79
1992    -0.98    -1.09    -1.35    -1.45    -1.17    -0.88    -0.43     0.16     0.55     0.70     0.83     0.91
1993     0.94     0.96     0.95     1.02     1.23     0.90     0.58     0.45     0.36     0.05    -0.16    -0.25
1994    -0.47    -0.72    -0.90    -1.20    -1.34    -1.51    -1.79    -1.66    -1.10    -0.46     0.29     0.72
1995     0.84     0.73     0.74     0.96     1.35     1.64     1.50     1.32     1.02     0.66     0.24    -0.14
1996    -0.31    -0.48    -0.79    -0.91    -1.08    -1.02    -1.40    -1.56    -1.67    -1.53    -1.16    -0.56
1997    -0.13     0.24     0.39     0.75     1.15     1.56     1.74     1.47     1.43     1.30     0.98     0.49
1998     0.22    -0.15    -0.38    -0.59    -0.89    -1.07    -1.29    -1.41    -1.26    -1.11    -0.77    -0.18
1999     0.27     0.41     0.58     0.99     1.36     1.60     1.64     1.54     1.37     1.14     0.85     0.72
2000     0.53     0.45     0.49     0.42     0.11    -0.22    -0.53    -0.70    -0.81    -0.78    -0.87    -0.87
2001    -1.07    -1.13    -1.30    -1.41    -1.53    -1.51    -1.45    -1.22    -0.72    -0.51     0.00     0.36
2002     0.54     0.73     0.78     1.14     1.28     1.45     1.37     1.41     1.17     1.00     0.68     0.20
2003     0.04    -0.04    -0.25    -0.70    -1.00    -1.08    -1.33    -1.46    -1.39    -1.28    -1.14    -0.69
2004    -0.24     0.29     0.47     0.85     1.19     1.32     1.36     1.26     1.04     1.01     0.67     0.43
2005     0.12     0.01    -0.01    -0.54    -1.10    -1.31    -1.42    -1.56    -1.82    -1.97    -2.09    -1.80
2006    -1.38    -0.83    -0.01     0.41     0.97     1.30     1.42     1.42     1.28     1.26     1.14     0.75
2007     0.37     0.28     0.12    -0.42    -1.02    -1.37    -1.48    -1.69    -1.84    -1.99    -1.93    -1.35
2008    -0.85    -0.30     0.20     0.52     1.07     1.46     1.63     1.49     1.39     1.28     1.06     1.09
2009     1.03     1.09     0.95     0.74     0.26    -0.08    -0.45    -0.63    -0.68    -0.58    -0.81    -1.03
2010    -1.15    -1.30    -1.58    -1.92    -2.01    -1.67    -0.25     0.66     0.98     1.26     1.31     1.13
2011     0.91     0.90     0.87     0.87     0.95     0.68     0.58     0.51     0.26     0.13    -0.43    -1.08
2012    -1.15    -1.16    -1.34    -1.44    -1.67    -1.74    -1.72    -1.73    -1.72    -1.62    -1.23    -0.58
2013    -0.34    -0.02     0.25     0.68     1.16     1.46     1.71     1.74     1.52     1.33     1.33     1.26
2014     1.23     1.12     0.98     0.58    -0.10    -0.77    -1.02    -1.22    -1.44    -1.57    -1.61    -1.82
2015    -2.02    -2.25    -2.27    -1.99    -0.87     0.54     1.16     1.44     1.43     1.47     1.36     99.99
