YEAR    JAN    FEB    MAR     APR     MAY     JUN    JUL     AUG     SEP     OCT     NOV     DEC      
1979    0.99    1.18    0.72    0.48    0.36    0.09   -0.49   -0.80   -1.13   -1.42   -1.50   -1.45
1980   -1.20   -1.25   -1.20   -1.24   -1.03   -0.40    0.37    0.74    0.99    1.05    1.14    1.15
1981    0.74    0.55    0.58    0.67    0.64    0.48    0.53    0.40    0.24    0.04   -0.07   -0.31
1982   -0.41   -0.79   -0.84   -1.02   -1.29   -1.68   -1.67   -1.25   -0.79   -0.29    0.36    0.78
1983    0.76    0.67    0.54    0.67    1.02    1.09    1.05    0.86    0.70    0.47    0.28    0.02
1984   -0.14   -0.25   -0.34   -0.33   -0.65   -1.01   -1.43   -1.60   -1.69   -1.79   -1.71   -1.37
1985   -1.11   -0.93   -0.76   -0.23    0.27    0.68    0.96    1.19    1.22    1.25    1.12    0.90
1986    0.77    0.81    1.03    0.89    0.88    1.01    0.71    0.46    0.38    0.49    0.25   -0.02
1987   -0.02   -0.11   -0.38   -0.83   -1.38   -1.55   -1.75   -1.43   -0.77   -0.04    0.52    0.47
1988    0.50    0.52    0.37    0.43    0.59    0.87    0.93    0.87    0.87    0.75    0.67    0.44
1989    0.47    0.26    0.22    0.44    0.22   -0.06   -0.24   -0.38   -0.68   -0.97   -1.08   -1.16
1990   -1.07   -1.04   -1.10   -1.13   -0.50    0.30    0.92    1.21    1.11    1.17    1.25    1.22
1991    0.93    0.76    0.77    0.65    0.66    0.48    0.22   -0.08   -0.04   -0.01   -0.12   -0.27
1992   -0.30   -0.29   -0.54   -0.83   -1.05   -1.37   -1.56   -1.54   -1.25   -0.97   -0.74   -0.19
1993    0.48    0.58    0.53    0.71    1.09    1.20    1.14    0.95    0.96    0.76    0.53    0.39
1994    0.23    0.05    0.05   -0.30   -0.82   -1.56   -1.86   -1.91   -2.13   -1.90   -1.23   -0.52
1995   -0.02    0.20    0.27    0.42    0.74    1.12    1.44    1.44    1.07    0.92    0.66    0.37
1996    0.33    0.33    0.15    0.09   -0.49   -0.91   -1.19   -1.37   -1.46   -1.64   -1.61   -1.27
1997   -1.18   -0.91   -0.98   -0.51    0.15    0.90    1.46    1.48    1.53    1.30    1.20    1.02
1998    0.68    0.52    0.42    0.31   -0.41   -1.21   -1.46   -1.48   -1.64   -1.85   -1.44   -1.01
1999   -0.57   -0.48   -0.20    0.06    0.58    1.09    1.41    1.38    1.33    1.24    1.06    1.09
2000    1.01    0.92    1.00    1.20    1.31    0.86    0.52    0.41    0.31    0.22   -0.05   -0.10
2001   -0.28   -0.35   -0.43   -0.38   -0.56   -0.95   -1.20   -1.72   -1.75   -1.66   -1.55   -1.18
2002   -0.74   -0.44   -0.04    0.50    0.89    1.18    1.22    1.45    1.43    1.28    1.12    0.81
2003    0.64    0.69    0.59    0.19   -0.25   -0.42   -0.54   -0.67   -0.89   -1.06   -1.32   -1.25
2004   -0.98   -0.71   -0.62   -0.14    0.42    0.94    1.34    1.50    1.17    1.24    1.13    1.08
2005    0.84    0.81    0.91    0.56    0.02   -0.44   -0.85   -0.99   -1.24   -1.56   -1.65   -1.71
2006   -1.83   -1.70   -1.50   -1.44   -0.86    0.22    0.97    1.11    1.51    1.50    1.49    1.29
2007    0.97    0.95    1.05    0.81    0.37   -0.37   -0.93   -1.18   -1.27   -1.45   -1.70   -1.92
2008   -2.07   -1.77   -1.46   -1.24   -0.63    0.50    1.29    1.40    1.23    1.13    0.96    1.05
2009    1.13    1.09    0.86    1.01    1.16    1.14    0.81    0.80    0.82    0.74    0.50    0.19
2010    0.22    0.07   -0.16   -1.23   -2.13   -2.52   -2.24   -1.31   -0.27    0.68    1.19    1.16
2011    0.80    0.79    0.76    0.53    0.74    1.17    1.55    1.65    1.69    1.70    1.18    0.32
2012    0.02   -0.11   -0.22   -0.37   -0.53   -0.69   -0.84   -0.93   -1.25   -1.31   -1.44   -1.61
2013   -1.34   -1.22   -1.25   -1.11   -0.88    0.17    1.06    1.37    1.36    1.32    1.35    1.36
2014    1.31    1.33    1.15    1.00    0.99    0.57    0.33    0.39    0.18   -0.19   -0.70   -1.18
2015   -1.38   -1.49   -1.65   -2.15   -2.62   -1.81   -0.57    0.49    1.12    1.38    1.29    99.99
