STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570101,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570102,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570103,25, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570104,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570105,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570106,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570107,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570108,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570109,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570110,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570111,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570112,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570113,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570114,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570115,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570116,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570117,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570118,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570119,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570120,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570121,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570122,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570123,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570124,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570125,48, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570126,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570127,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570128,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570129,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570130,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570131,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570201,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570202,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570203,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570204,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570205,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570206,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570207,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570208,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:KE000063723,GARISSA KE,147,-0.467,39.633,19570209,0, , ,Q,9999,-9999, , , ,9999,-9999, , , ,9999
