STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNWD,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530101,0, , ,Q,9999,-9999, , , ,9999,280, , ,Q,9999,105, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530102,0, , ,Q,9999,-9999, , , ,9999,296, , ,Q,9999,55, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530103,0, , ,Q,9999,-9999, , , ,9999,302, , ,Q,9999,102, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530104,25, , ,Q,9999,-9999, , , ,9999,299, , ,Q,9999,54, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530105,50, , ,Q,9999,-9999, , , ,9999,300, , ,Q,9999,68, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530106,0, , ,Q,9999,-9999, , , ,9999,310, , ,Q,9999,82, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530107,0, , ,Q,9999,-9999, , , ,9999,301, , ,Q,9999,46, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530108,0, , ,Q,9999,-9999, , , ,9999,310, , ,Q,9999,46, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530109,0, , ,Q,9999,-9999, , , ,9999,311, , ,Q,9999,35, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530110,0, , ,Q,9999,-9999, , , ,9999,312, , ,Q,9999,42, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530111,0, , ,Q,9999,-9999, , , ,9999,314, , ,Q,9999,32, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530112,0, , ,Q,9999,-9999, , , ,9999,310, , ,Q,9999,50, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530113,0, , ,Q,9999,-9999, , , ,9999,306, , ,Q,9999,64, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530114,0, , ,Q,9999,-9999, , , ,9999,305, , ,Q,9999,20, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530115,0, , ,Q,9999,-9999, , , ,9999,312, , ,Q,9999,45, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530116,0, , ,Q,9999,-9999, , , ,9999,316, , ,Q,9999,17, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530117,0, , ,Q,9999,-9999, , , ,9999,316, , ,Q,9999,86, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530118,0, , ,Q,9999,-9999, , , ,9999,318, , ,Q,9999,45, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530119,0, , ,Q,9999,-9999, , , ,9999,315, , ,Q,9999,47, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530120,0, , ,Q,9999,-9999, , , ,9999,310, , ,Q,9999,70, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530121,0, , ,Q,9999,-9999, , , ,9999,320, , ,Q,9999,35, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530122,0, , ,Q,9999,-9999, , , ,9999,314, , ,Q,9999,45, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530123,0, , ,Q,9999,-9999, , , ,9999,307, , ,Q,9999,15, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530124,0, , ,Q,9999,-9999, , , ,9999,305, , ,Q,9999,0, , ,Q,9999
