STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530101,0, , ,Q,9999,270, , ,Q,9999,99, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530102,0, , ,Q,9999,272, , ,Q,9999,75, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530103,0, , ,Q,9999,284, , ,Q,9999,84, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530104,0, , ,Q,9999,279, , ,Q,9999,103, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530105,0, , ,Q,9999,288, , ,Q,9999,90, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530106,0, , ,Q,9999,293, , ,Q,9999,103, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530107,0, , ,Q,9999,286, , ,Q,9999,115, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530108,0, , ,Q,9999,292, , ,Q,9999,102, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530109,0, , ,Q,9999,296, , ,Q,9999,112, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530110,0, , ,Q,9999,294, , ,Q,9999,101, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530111,0, , ,Q,9999,296, , ,Q,9999,79, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530112,0, , ,Q,9999,302, , ,Q,9999,100, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530113,0, , ,Q,9999,300, , ,Q,9999,125, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530114,0, , ,Q,9999,290, , ,Q,9999,112, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530115,0, , ,Q,9999,298, , ,Q,9999,90, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530116,0, , ,Q,9999,301, , ,Q,9999,119, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530117,0, , ,Q,9999,309, , ,Q,9999,120, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530118,0, , ,Q,9999,292, , ,Q,9999,108, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530119,0, , ,Q,9999,293, , ,Q,9999,118, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530120,0, , ,Q,9999,291, , ,Q,9999,128, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530121,0, , ,Q,9999,292, , ,Q,9999,140, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530122,0, , ,Q,9999,296, , ,Q,9999,121, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530123,0, , ,Q,9999,285, , ,Q,9999,131, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530124,0, , ,Q,9999,280, , ,Q,9999,121, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530125,0, , ,Q,9999,289, , ,Q,9999,118, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530126,0, , ,Q,9999,292, , ,Q,9999,121, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530127,0, , ,Q,9999,282, , ,Q,9999,150, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530128,0, , ,Q,9999,291, , ,Q,9999,149, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530129,0, , ,Q,9999,310, , ,Q,9999,155, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530130,0, , ,Q,9999,300, , ,Q,9999,153, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530131,0, , ,Q,9999,291, , ,Q,9999,109, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530201,0, , ,Q,9999,287, , ,Q,9999,115, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530202,0, , ,Q,9999,306, , ,Q,9999,96, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530203,0, , ,Q,9999,312, , ,Q,9999,130, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530204,0, , ,Q,9999,294, , ,Q,9999,136, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530205,0, , ,Q,9999,289, , ,Q,9999,126, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530206,0, , ,Q,9999,297, , ,Q,9999,121, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530207,0, , ,Q,9999,296, , ,Q,9999,129, , ,Q,9999
GHCND:ET000063331,GONDAR ET,1967,12.55,37.417,19530208,0, , ,Q,9999,300, , ,Q,9999,140, , ,Q,9999
